Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
, LOCAL BILL LIQUIDATED,,,"-82,674,440.00", 27/01/2026, 612SB04260150006," KUNDLI, SONEPAT"
, FT CR ECMS-CMRGR1100LCU101935-TS ENTERPRISES-50200092311919,," 1,470,000.00",, 27/01/2026, 000017, RABUPURA
, FT Cr ECMS-CMRGR1100LCU101935-TS ENTERPRISES-50200092311919,," 80,000.00",, 27/01/2026, HDFC1547ED256142," NETBANK, MUMBAI"
, RTGS Cr-UTIB0000039-CMR GREEN TECHNOLOGIES LIMITED FORMERLY-CENTURY METAL RECYCLING LIMITE-UTIBR62026012752358403,," 40,000,000.00",, 27/01/2026, UTIBR62026012752358403, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176443,," 10,000,000.00",, 27/01/2026, SBINR12026012714176443, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176442,," 10,000,000.00",, 27/01/2026, SBINR12026012714176442, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176445,," 10,000,000.00",, 27/01/2026, SBINR12026012714176445, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176446,," 10,000,000.00",, 27/01/2026, SBINR12026012714176446, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176454,," 10,000,000.00",, 27/01/2026, SBINR12026012714176454, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176351,," 10,000,000.00",, 27/01/2026, SBINR12026012714176351, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176453,," 10,000,000.00",, 27/01/2026, SBINR12026012714176453, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176444,," 10,000,000.00",, 27/01/2026, SBINR12026012714176444, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176420,," 10,000,000.00",, 27/01/2026, SBINR12026012714176420, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026012714176352,," 10,000,000.00",, 27/01/2026, SBINR12026012714176352, CMS TF WBO MUMBAI
, RTGS Cr ECMS-ICIC0099999-CMRGR1100LCU101770-JP JINDAL RECYCLING PRIVATE LI-629605501089,," 6,500,000.00",, 27/01/2026, ICICR22026012714070187, FORT
, Maruti Suzuki -1100B0226013490,,,"-2,593,000.00", 27/01/2026, HDFCH00759999624," NETBANK, MUMBAI"
, CCH3T4U19OVKZ2_DHBV-DHBVNL,,,"-80,458.00", 27/01/2026, 601275639012," NETBANK, MUMBAI"
, 57500000342857-2857,,,"-253,000,000.00", 27/01/2026, 601275559232," NETBANK, MUMBAI"
, FT601275558359-CMR NIKKEI INDIA PVT LTD 1274 FT-00930310001274,," 120,000,000.00",, 27/01/2026, 601275558359," NETBANK, MUMBAI"
, 12540310000177-177,,,"-3,000,000.00", 27/01/2026, 601275550326," NETBANK, MUMBAI"
, RTGS Cr ECMS-ICIC0099999-CMRGR1100LCU101770-JP JINDAL RECYCLING PRIVATE LI-629605501089,," 626,964.00",, 27/01/2026, ICICR22026012714071410, FORT
, FT Cr ECMS-CMRGR1100LCU101314-HERO MOTOCORP LIMITED 315-00030110000315,," 220,512,544.61",, 27/01/2026, 601275606697," NETBANK, MUMBAI"
, FT Cr ECMS-CMRGR1100LCU101319-HERO MOTOCORP LIMITED 315-00030110000315,," 1,417,055.68",, 27/01/2026, 601275606698," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013487,,,"-24,791.80", 27/01/2026, HDFCH00760265253," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226013489,,,"-53,100.00", 27/01/2026, HDFCH00760264923," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013488,,,"-58,539.80", 27/01/2026, HDFCH00760265260," NETBANK, MUMBAI"
, LIQUIDATION OF IMP COLL BILL,,,"-15,380,479.11", 27/01/2026, 612BC05260060003," KUNDLI, SONEPAT"
, Msc Mediterran-1100B0226013678,,,"-26,550.00", 27/01/2026, HDFCH00760316573," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013576,,,"-803,237.80", 27/01/2026, HDFCH00760317275," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226013674,,,"-740,990.44", 27/01/2026, HDFCH00760319245," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013616,,,"-268,815.80", 27/01/2026, HDFCH00760317310," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226013634,,,"-577,999.40", 27/01/2026, HDFCH00760317355," NETBANK, MUMBAI"
, 57500000342857-2857,,,"-200,000,000.00", 27/01/2026, 601275957498," NETBANK, MUMBAI"
, RTGS Cr-SCBL0036001-ENDURANCE TECHNOLOGIES LIMITED-CMR GREEN TECHNOLOGIES LIMITED-SCBLR12026012700828170,," 18,962,091.86",, 27/01/2026, SCBLR12026012700828170, FORT
, INW 270126I049913763 USD306199.5@91.69,," 28,075,432.16",, 27/01/2026, 270126401782," NETBANK, MUMBAI"
, 270126I049913763 DPO2602746431474 IGST,,,"-5,863.58", 27/01/2026, 270126401789," NETBANK, MUMBAI"
, FT Cr ECMS-CMRLTD151LCU101331-J B TRADING-50200083168153,," 863,100.00",, 27/01/2026, HDFC858F4E62CE8E," NETBANK, MUMBAI"
, FT Cr ECMS-CMRGR1100LCU101902-PRATEEK TRADERS-01532320000994,," 10,000.00",, 27/01/2026, NBONDVYSATEPYNSN," NETBANK, MUMBAI"
, NEFT Cr ECMS-IOBA0001450-CMRGR1100LCU100984-VINAYAK INDUSTRIES-145002000001334,," 2,284,000.00",, 27/01/2026, IOBAN26027447808, FORT
, COMM ON LIQD OF IMP COLL BILL,,,-177, 27/01/2026, 612BC05260270001," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 27/01/2026, 612BC63260270005," KUNDLI, SONEPAT"
, WASTE TO ENERG-1100B0226013613,,,"-3,073,166.66", 27/01/2026, 601275457610," NETBANK, MUMBAI"
, PATIALA STEELS-1100B0226013544,,,"-3,297,111.61", 27/01/2026, 601275449519," NETBANK, MUMBAI"
, AMAIRA METALS-1100B0226013574,,,"-12,207,361.73", 27/01/2026, 601275449757," NETBANK, MUMBAI"
, P.G. Internati-1100B0226013501,,,"-12,759,969.60", 27/01/2026, HDFCH00760472148," NETBANK, MUMBAI"
, MINMAT FERRO A-1100B0226013563,,,"-4,305,245.60", 27/01/2026, HDFCH00760472769," NETBANK, MUMBAI"
, RAPIDUE TECHNO-1100B0226013553,,,"-4,473,607.21", 27/01/2026, HDFCH00760472151," NETBANK, MUMBAI"
, SHARMA METAL-1100B0226013565,,,"-16,379,294.55", 27/01/2026, HDFCH00760472785," NETBANK, MUMBAI"
, GURU KIRPA TRA-1100B0226013545,,,"-4,124,413.70", 27/01/2026, HDFCH00760473479," NETBANK, MUMBAI"
, SHIVAY ULTIMAT-1100B0226013561,,,"-3,783,458.40", 27/01/2026, HDFCH00760470856," NETBANK, MUMBAI"
, KOTHARI METAL -1100B0226013570,,,"-6,534,204.83", 27/01/2026, HDFCH00760473503," NETBANK, MUMBAI"
, MARWADI METALL-1100B0226013548,,,"-8,887,447.63", 27/01/2026, HDFCH00760469119," NETBANK, MUMBAI"
, ALPHA METALS -1100B0226013573,,,"-4,308,562.50", 27/01/2026, HDFCH00760473514," NETBANK, MUMBAI"
, ARYA STEELS-1100B0226013567,,,"-15,443,003.17", 27/01/2026, HDFCH00760470859," NETBANK, MUMBAI"
, R.M. ALLOYS PR-1100B0226013538,,,"-11,997,174.80", 27/01/2026, HDFCH00760473534," NETBANK, MUMBAI"
, Ankit Enterpri-1100B0226013523,,,"-37,503.20", 27/01/2026, 601275449351," NETBANK, MUMBAI"
, M S Machine To-1100B0226013520,,,"-6,946.10", 27/01/2026, 601275449324," NETBANK, MUMBAI"
, Sharma Steels -1100B0226013511,,,"-61,236.70", 27/01/2026, 601275449266," NETBANK, MUMBAI"
, MUNDHRA BROTHE-1100B0226013532,,,"-166,138.34", 27/01/2026, 601275449422," NETBANK, MUMBAI"
, Milap Tyres-1100B0226013518,,,"-38,052.00", 27/01/2026, 601275449311," NETBANK, MUMBAI"
, Shri Shyam Ent-1100B0226013525,,,"-15,682.52", 27/01/2026, 601275449364," NETBANK, MUMBAI"
, FS Internation-1100B0226013517,,,"-107,616.00", 27/01/2026, 601275449306," NETBANK, MUMBAI"
, Samit Sales Pv-1100B0226013498,,,"-28,320.00", 27/01/2026, 601275449647," NETBANK, MUMBAI"
, Ess Ess Cerate-1100B0226013504,,,"-34,810.00", 27/01/2026, 601275449212," NETBANK, MUMBAI"
, Shah Coal Depo-1100B0226013506,,,"-6,900.00", 27/01/2026, HDFCH00760527519," NETBANK, MUMBAI"
, Unique Furnace-1100B0226013516,,,"-129,210.00", 27/01/2026, HDFCH00760526789," NETBANK, MUMBAI"
, Linde India Li-1100B0226013507,,,"-10,110.24", 27/01/2026, HDFCH00760528480," NETBANK, MUMBAI"
, JASAWAT INDUST-1100B0226013536,,,"-35,400.00", 27/01/2026, HDFCH00760526811," NETBANK, MUMBAI"
, SHRI ROOP JI T-1100B0226013533,,,"-22,690.57", 27/01/2026, HDFCH00760526814," NETBANK, MUMBAI"
, Allcast Metals-1100B0226013513,,,"-28,320.00", 27/01/2026, HDFCH00760526825," NETBANK, MUMBAI"
, Shamshad-1100B0226013502,,,"-137,011.49", 27/01/2026, HDFCH00760527563," NETBANK, MUMBAI"
, Scottish Chemi-1100B0226013528,,,"-1,701,238.86", 27/01/2026, HDFCH00760528484," NETBANK, MUMBAI"
, Bharti Airtel -1100B0226013527,,,"-115,420.00", 27/01/2026, HDFCH00760527572," NETBANK, MUMBAI"
, WHEELS LOVER S-1100B0226013537,,,"-42,196.80", 27/01/2026, HDFCH00760529369," NETBANK, MUMBAI"
, Arte Engineeri-1100B0226013495,,,"-17,160.22", 27/01/2026, HDFCH00760529372," NETBANK, MUMBAI"
, Deepak Enginee-1100B0226013497,,,"-106,142.40", 27/01/2026, HDFCH00760526866," NETBANK, MUMBAI"
, National compu-1100B0226013512,,,"-22,184.00", 27/01/2026, HDFCH00760527581," NETBANK, MUMBAI"
, Hamraj Enterpr-1100B0226013485,,,"-10,760.00", 27/01/2026, HDFCH00760528510," NETBANK, MUMBAI"
, Bhavya Enginee-1100B0226013529,,,"-1,872.00", 27/01/2026, HDFCH00760528511," NETBANK, MUMBAI"
, Akshara Enterp-1100B0226013494,,,"-9,298.40", 27/01/2026, HDFCH00760528513," NETBANK, MUMBAI"
, Brahm Rishi En-1100B0226013503,,,"-14,726.40", 27/01/2026, HDFCH00760527587," NETBANK, MUMBAI"
, Kartik Packing-1100B0226013522,,,"-59,154.82", 27/01/2026, HDFCH00760529394," NETBANK, MUMBAI"
, Acryon Enginee-1100B0226013493,,,"-18,998.00", 27/01/2026, HDFCH00760523115," NETBANK, MUMBAI"
, Kalinga Air Ga-1100B0226013505,,,"-6,145.44", 27/01/2026, HDFCH00760529399," NETBANK, MUMBAI"
, Max Spare Limi-1100B0226013509,,,"-8,169.36", 27/01/2026, HDFCH00760526922," NETBANK, MUMBAI"
, Environment Po-1100B0226013526,,,"-15,163.20", 27/01/2026, HDFCH00760529400," NETBANK, MUMBAI"
, VICKY TRADERS-1100B0226013535,,,"-74,581.76", 27/01/2026, HDFCH00760527610," NETBANK, MUMBAI"
, LINDE INDIA LI-1100B0226013484,,,"-14,124.60", 27/01/2026, HDFCH00760527619," NETBANK, MUMBAI"
, SWASTIK INTERN-1100B0226013539,,,"-1,529,263.35", 27/01/2026, HDFCH00760527621," NETBANK, MUMBAI"
, Manesar H.P. G-1100B0226013510,,,"-6,591.98", 27/01/2026, HDFCH00760528551," NETBANK, MUMBAI"
, UNITRADE INDIA-1100B0226013486,,,"-31,714.00", 27/01/2026, HDFCH00760523152," NETBANK, MUMBAI"
, M.S. Engineeri-1100B0226013508,,,"-32,313.12", 27/01/2026, HDFCH00760527635," NETBANK, MUMBAI"
, MAHALAXMI TRAD-1100B0226013534,,,"-2,336.40", 27/01/2026, HDFCH00760527017," NETBANK, MUMBAI"
, Meet Engineeri-1100B0226013521,,,"-5,310.00", 27/01/2026, HDFCH00760527642," NETBANK, MUMBAI"
, DEEPAK TRADERS-1100B0226013492,,,"-1,891,289.60", 27/01/2026, HDFCH00760530156," NETBANK, MUMBAI"
, Shree Ram Ente-1100B0226013499,,,"-17,946.80", 27/01/2026, HDFCH00760527646," NETBANK, MUMBAI"
, Davy Air Servi-1100B0226013496,,,"-369,727.58", 27/01/2026, HDFCH00760527650," NETBANK, MUMBAI"
, Axcel Gases-1100B0226013514,,,"-18,015.06", 27/01/2026, HDFCH00760527653," NETBANK, MUMBAI"
, Vinay Trading -1100B0226013500,,,"-46,770.48", 27/01/2026, HDFCH00760527658," NETBANK, MUMBAI"
, HYDRO OIL FILT-1100B0226013531,,,"-48,555.00", 27/01/2026, HDFCH00760530166," NETBANK, MUMBAI"
, Jyoti Engineer-1100B0226013515,,,"-36,344.00", 27/01/2026, HDFCH00760530170," NETBANK, MUMBAI"
, Elektromag Joe-1100B0226013491,,,"-1,489,400.00", 27/01/2026, HDFCH00760527051," NETBANK, MUMBAI"
, HARSH TRANSPOR-1100B0226013530,,,"-1,015,602.44", 27/01/2026, HDFCH00760529486," NETBANK, MUMBAI"
, Gupta Engineer-1100B0226013519,,,"-11,647.40", 27/01/2026, HDFCH00760528614," NETBANK, MUMBAI"
, Industrial Fir-1100B0226013524,,,"-9,314.37", 27/01/2026, HDFCH00760530182," NETBANK, MUMBAI"
, WASTE TO ENERG-1100B0226013572,,,"-1,233,186.84", 27/01/2026, 601275449741," NETBANK, MUMBAI"
, PERFECT ARTS-1100B0226013585,,,"-11,020.00", 27/01/2026, 601275456672," NETBANK, MUMBAI"
, Everest Enterp-1100B0226013600,,,"-2,690.40", 27/01/2026, 601275457618," NETBANK, MUMBAI"
, N.C.R. BHARATG-1100B0226013541,,,"-216,049.71", 27/01/2026, 601275449498," NETBANK, MUMBAI"
, B2B GENIE PRIV-1100B0226013566,,,"-413,823.96", 27/01/2026, 601275449687," NETBANK, MUMBAI"
, SAMYAK INSTRUM-1100B0226013569,,,"-14,632.00", 27/01/2026, 601275449707," NETBANK, MUMBAI"
, MUNDHRA BROTHE-1100B0226013602,,,"-13,361.14", 27/01/2026, 601275457623," NETBANK, MUMBAI"
, Vhs Worldwide -1100B0226013579,,,"-89,560.75", 27/01/2026, 601275456660," NETBANK, MUMBAI"
, SHOUTNHIKE-1100B0226013587,,,"-29,160.00", 27/01/2026, 601275456636," NETBANK, MUMBAI"
, ABP MANAGEMENT-1100B0226013568,,,"-95,790.16", 27/01/2026, HDFCH00760527955," NETBANK, MUMBAI"
, SARU AIKOH CHE-1100B0226013546,,,"-200,718.00", 27/01/2026, HDFCH00760527959," NETBANK, MUMBAI"
, SERVICECOM TEC-1100B0226013582,,,"-3,304.00", 27/01/2026, HDFCH00760527968," NETBANK, MUMBAI"
, UNIKOM IT SOLU-1100B0226013591,,,"-2,925.00", 27/01/2026, HDFCH00760528964," NETBANK, MUMBAI"
, ASD ENTERPRISE-1100B0226013549,,,"-1,327.50", 27/01/2026, HDFCH00760527969," NETBANK, MUMBAI"
, PROGRESSION I-1100B0226013588,,,"-359,640.00", 27/01/2026, HDFCH00760531434," NETBANK, MUMBAI"
, KAKA VEHICLE F-1100B0226013564,,,"-1,090,579.96", 27/01/2026, HDFCH00760529786," NETBANK, MUMBAI"
, DURGA TRADERS-1100B0226013540,,,"-76,418.86", 27/01/2026, HDFCH00760530388," NETBANK, MUMBAI"
, AIR WATER INDI-1100B0226013557,,,"-2,320.00", 27/01/2026, HDFCH00760531483," NETBANK, MUMBAI"
, ARYA OMNITALK -1100B0226013559,,,"-16,320.00", 27/01/2026, HDFCH00760530434," NETBANK, MUMBAI"
, JADE SOLUTIONS-1100B0226013543,,,"-181,220.28", 27/01/2026, HDFCH00760531509," NETBANK, MUMBAI"
, ISHAN NETSOL P-1100B0226013562,,,"-84,100.00", 27/01/2026, HDFCH00760529794," NETBANK, MUMBAI"
, HARBANS SINGH-1100B0226013596,,,"-33,750.00", 27/01/2026, HDFCH00760530558," NETBANK, MUMBAI"
, AMR HOLIDAY-1100B0226013595,,,"-58,628.61", 27/01/2026, HDFCH00760531516," NETBANK, MUMBAI"
, BHARAT ASSOCI-1100B0226013586,,,"-363,752.92", 27/01/2026, HDFCH00760531526," NETBANK, MUMBAI"
, JAGDAMBA TRADI-1100B0226013555,,,"-5,782.00", 27/01/2026, HDFCH00760528008," NETBANK, MUMBAI"
, FERVENT GLOBAL-1100B0226013551,,,"-2,207,595.25", 27/01/2026, HDFCH00760528011," NETBANK, MUMBAI"
, ONVID SOLUTION-1100B0226013597,,,"-47,520.00", 27/01/2026, HDFCH00760528015," NETBANK, MUMBAI"
, Hind Terminals-1100B0226013578,,,"-355,136.32", 27/01/2026, HDFCH00760529810," NETBANK, MUMBAI"
, VRISHTI BEVERA-1100B0226013581,,,"-23,950.92", 27/01/2026, HDFCH00760530609," NETBANK, MUMBAI"
, BOMBAY STATION-1100B0226013601,,,"-17,233.50", 27/01/2026, HDFCH00760531683," NETBANK, MUMBAI"
, DLF CLUBS AND -1100B0226013593,,,"-327,378.00", 27/01/2026, HDFCH00760529101," NETBANK, MUMBAI"
, Infor India -1100B0226013577,,,"-61,900.34", 27/01/2026, HDFCH00760529103," NETBANK, MUMBAI"
, R J ENTERPRISE-1100B0226013554,,,"-39,555.12", 27/01/2026, HDFCH00760529834," NETBANK, MUMBAI"
, SUPRABHA PROTE-1100B0226013560,,,"-363,490.24", 27/01/2026, HDFCH00760530635," NETBANK, MUMBAI"
, VCS ENTERPRISE-1100B0226013584,,,"-58,506.20", 27/01/2026, HDFCH00760529107," NETBANK, MUMBAI"
, EATON POWER QU-1100B0226013592,,,"-26,784.40", 27/01/2026, HDFCH00760529847," NETBANK, MUMBAI"
, ANSH ENTERPRIS-1100B0226013575,,,"-2,279,414.40", 27/01/2026, HDFCH00760528050," NETBANK, MUMBAI"
, Jyoti Industri-1100B0226013599,,,"-119,180.00", 27/01/2026, HDFCH00760529121," NETBANK, MUMBAI"
